name,FWHM
IC5376,2.915
UGC00005,3.167
NGC7819,2.742
UGC00029,1.797
IC1528,2.132
NGC7824,2.305
UGC00036,1.605
NGC0001,2.034
NGC0023,3.094
NGC0036,1.663
UGC00139,2.147
UGC00148,2.681
MCG-02-02-030,3.000
UGC00312,2.339
ESO539-G014,3.092
MCG-02-02-040,2.004
UGC00335NED02,1.945
NGC0155,3.264
ESO540-G003,2.450
NGC0160,3.370
NGC0165,1.917
NGC0169,3.458
NGC0171,3.050
NGC0180,2.450
NGC0192,2.444
NGC0216,2.916
NGC0214,3.195
NGC0217,2.450
NGC0237,2.067
NGC0234,2.680
NGC0257,2.250
NGC0309,2.269
NGC0364,2.459
NGC0429,2.450
IC1652,2.450
NGC0447,2.450
NGC0444,3.179
UGC00809,2.611
UGC00841,2.777
NGC0477,2.355
IC1683,2.354
NGC0499,2.832
NGC0496,2.816
NGC0504,2.450
NGC0517,2.710
NGC0523,2.462
UGC00987,2.680
NGC0528,2.789
NGC0529,2.522
NGC0551,2.280
UGC01057,2.622
NGC0570,2.287
UGC01062,2.212
UGC01123,2.256
IC0159,2.517
UGC01271,2.914
UGCA021,2.450
NGC0681,2.779
UGC01274,2.889
NGC0693,1.964
NGC0716,2.538
UGC01368,2.653
NGC0731,2.793
NGC0741,2.182
NGC0755,2.836
IC1755,2.703
NGC0768,1.969
NGC0774,2.150
NGC0776,2.768
NGC0781,2.324
NGC0787,2.454
NGC0810,2.402
NGC0825,2.122
NGC0833,2.752
NGC0842,3.121
UGC01659,2.312
UGC01749,2.389
NGC0873,2.589
NGC0924,2.344
UGC01918,2.471
NGC0932,2.338
UGC01938,2.391
NGC0941,2.178
NGC0938,2.253
NGC0955,2.250
NGC0962,2.604
UGC02018,2.306
NGC0976,2.450
NGC0991,2.851
UGC02099,2.073
UGC02134,2.672
NGC1026,1.889
NGC1041,2.066
NGC1056,2.735
NGC1060,3.150
NGC1070,2.199
UGC02222,2.333
UGC02229,2.234
UGC02239,2.525
NGC1094,2.153
NGC1093,2.213
UGC02311,2.560
UGC02319,2.345
MCG-02-08-014,3.383
NGC1132,2.519
UGC02367,1.758
UGC02403,2.719
UGC02405,2.450
UGC02443,2.594
UGC02465,2.437
NGC1167,2.696
NGC1211,2.192
MCG-01-09-006,2.453
IC0307,2.111
UGC02628,2.414
UGC02690,2.450
NGC1324,2.926
NGC1349,2.971
NGC1361,2.483
MCG-01-10-015,2.678
MCG-01-10-019,2.374
NGC1542,2.106
UGC03038,1.956
UGC03107,1.934
NGC1645,2.838
UGC03151,1.955
NGC1656,2.355
NGC1659,2.880
NGC1665,2.874
NGC1666,2.182
NGC1667,3.061
IC2095,1.947
IC2098,1.971
NGC1677,1.942
IC2101,2.071
UGC03253,2.450
NGC2253,2.015
UGC03539,2.450
NGC2347,2.478
UGC03899,2.686
NGC2410,2.450
UGC03944,2.850
UGC03969,2.676
